bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
521CI,63,7,28,9,6,87,144,11,10,17,23,20,47,17,39,11,8,26,37,3,6,12,7,6,59,22,161,48,15,11,59,21,19,2,23,5,34,36,2,94,37,202,118,185,486,9,51,860,959,70,17,34,180,152,67,13,11,52,22,6,8,14,15,53,53,36,0,195,0,213,0
523,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
524,32,15,152,12,77,22,12,1,14,7,11,10,2,10,43,29,3,5,48,2,0,3,1,2,20,7,1347,122,33,30,165,50,0,34,807,154,14,66,66,11,19,23,33,1,297,82795,8,1,1646,448,88,82,289,4,247,49,33,590,739,174,431,99,85,46,379,132,0,62,2,182,114
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,4,1,14,7,2,76,149,9,9,13,32,24,90,5,42,24,4,25,22,2,2,14,6,3,77,21,292,12,10,8,86,5,6,4,5,7,1,9,5,87,18,49,172,82,237,210,45,35,184,21,39,63,275,158,109,8,7,93,327,24,16,47,45,20,50,117,0,3,1,331,21
5415,62,2,512,45,6,241,1108,35,37,33,153,144,27,14,53,144,21,33,129,6,2,33,34,21,26,46,2732,665,90,158,795,39,114,4,84,29,2,48,16,761,54,438,2052,960,1730,790,172,102,746,92,539,1472,1894,235,1948,70,332,565,794,148,234,63,150,108,726,554,821,1586,14,3625,737
5412OP,37,40,188,75,77,334,3826,142,124,153,241,274,1079,128,466,273,91,238,578,31,11,173,87,56,978,224,8752,1185,434,145,4097,29,72,95,217,251,12,175,221,1937,381,1534,5383,3910,5977,2106,250,84,2117,1405,529,2047,13018,3746,2895,307,564,3075,4089,952,630,1023,634,392,1399,3588,3559,2772,65,5869,1563
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,4,50,51,2,6,21,49,10,21,3,16,24,0,9,10,1,2,4,13,2,20,6,295,29,9,9,92,15,0,4,54,73,11,42,32,150,11,207,246,104,123,65,0,2,136,98,28,233,349,61,487,29,38,188,356,75,19,17,17,17,62,83,22,1,1,110,26
562,0,0,6,0,0,2,11,1,1,1,2,1,0,0,1,0,0,0,5,0,0,1,0,1,5,1,6,3,1,1,4,0,0,0,4,0,0,1,1,0,0,0,0,2,1,3,0,0,69,10,1,0,5,2,6,92,1,16,15,4,4,1,4,3,8,6,1,7,0,221,8
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,506,0
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
