bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
481,0,0,1,5,64,291,200,72,95,75,140,77,10,13,85,18,36,36,175,4,1,73,57,14,58,121,4831,155,49,32,462,430,5,211,3255,94,7,1680,380,166,106,189,924,1894,1603,64,239,1,5596,1112,333,1592,2113,186,2047,255,434,1669,263,181,357,83,223,91,1215,342,6657,3531,484,2187,52
482,0,0,0,0,0,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,8,7,0,49,0,27,0,4965,0,7,196,7,0,0,146,2,6,5,9,0,0,0,21,26,18,259,2,121,0,0,9,41,0,0,0,0,0,0,15,197,158,791,344,0
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,38,0,0,93,0,11,0,0,0,0,0,0,0,2690,190,1407,366,0
484,189,0,0,0,87,0,0,99,90,157,313,123,43,58,124,62,74,162,166,42,15,208,58,60,99,226,6048,3496,1361,647,7293,1705,160,115,15781,293,47,5449,1305,68,56,2,394,0,0,11,5,0,0,644,81,118,1338,7,342,66,25,271,485,34,79,44,10,15,256,217,6227,77,1115,456,24
485,0,1,2,7,122,924,1698,153,194,161,285,164,19,21,172,36,73,89,361,8,2,152,112,30,122,238,2909,267,10,38,304,3,365,0,0,0,7,302,9,391,177,717,2569,5739,3430,1428,486,9,13887,2362,1054,4678,6534,446,4678,480,1257,5363,6423,1194,641,4215,263,221,3388,773,104,22,26,24758,1802
486,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,0,61,27,528,5,6475,0,927,1056,147,68,13,0,3,11,0,217,109,481,49,0,727,329,349,139,543,85928,3661,2046,532,21835,33208,1200,5304,63842,2470,1201,42265,6764,1030,878,135,5961,996,6204,126,0,0,0,9380,814,1467,9028,588,3559,2120,441,3764,7353,567,1746,976,1110,153,1908,1790,5,245,1167,1348,4253
493,1123,0,8,158,0,617,0,1573,2270,119,668,403,368,117,136,110,119,396,4332,1063,236,3123,997,284,2084,3691,44009,15453,8925,4423,40406,108,2,1083,6616,551,493,1411,6983,479,256,460,2146,0,0,41,0,4,1265,1805,230,396,1562,15,9624,441,167,1242,2364,253,343,336,192,723,1874,1058,566,1471,0,9794,236
511,101,1,38,1,7,324,1995,43,1,22,95,41,54,1,27,153,10,28,11,0,0,8,45,2,20,9,5314,865,78,250,1233,21,83,0,34,22,0,606,136,69734,57,740,4263,705,2291,759,123,0,1485,959,1477,2688,7660,553,3262,45,713,1834,3085,196,1055,82,117,160,230,878,153,2011,20,14057,686
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,721,356,0,161,9,0,0,4,0,65,26,0,298,37932,48779,472,55,63,0,0,0,211,205,14,89,4487,461,147,0,688,125,31,1380,2220,697,111,742,6952,548,105,2035,61,884,0
