,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods",Noncomparable imports and rest-of-the-world adjustment
331,Primary metals,0.0032618,0.0011112,0.0288310,0.0129868,0.0063678,0.0056564,0.0188093,0.0118271,0.0240089,1.1918766,0.2410354,0.1125431,0.0153166,0.1333590,0.0991650,0.0333420,0.0596052,0.0338796,0.0090477,0.0110847,0.0044804,0.0173312,0.0074028,0.0127979,0.0050356,0.0176651,0.0023660,0.0020082,0.0020757,0.0011977,0.0016564,0.0020494,0.0122845,0.0077944,0.0039874,0.0035295,0.0079088,0.0042506,0.0033114,0.0013032,0.0008215,0.0035969,0.0029690,0.0008267,0.0012490,0.0005649,0.0011119,0.0007169,0.0039711,0.0028428,0.0006030,0.0018111,0.0024036,0.0012998,0.0031912,0.0094337,0.0033768,0.0016545,0.0025703,0.0016980,0.0047304,0.0012825,0.0058504,0.0024144,0.0026848,0.0094472,0.0066212,0.0040395,0.0032011,0.0027774,0.0126272,0.1283756,0.0040395
332,Fabricated metal products,0.0076894,0.0025731,0.0256582,0.0165295,0.0103779,0.0130308,0.0541495,0.0340842,0.0267545,0.0747393,1.0955939,0.0703010,0.0244135,0.0952607,0.0527691,0.0445485,0.0645706,0.0331045,0.0244155,0.0230225,0.0080668,0.0382385,0.0205759,0.0119760,0.0133033,0.0386675,0.0042707,0.0039347,0.0040747,0.0024385,0.0032410,0.0039487,0.0095489,0.0271586,0.0080843,0.0081485,0.0320331,0.0088541,0.0076086,0.0033249,0.0016268,0.0103159,0.0056588,0.0018036,0.0025808,0.0011378,0.0023180,0.0019037,0.0059447,0.0065205,0.0011686,0.0051496,0.0048316,0.0027291,0.0049174,0.0230441,0.0055143,0.0028720,0.0053113,0.0031762,0.0097406,0.0021630,0.0103181,0.0071823,0.0065106,0.0203590,0.0137250,0.0056749,0.0049910,0.0059165,0.0314066,0.3152276,0.0056749
333,Machinery,0.0022446,0.0006810,0.0175979,0.0185649,0.0147374,0.0027736,0.0145119,0.0041551,0.0048143,0.0109968,0.0152540,1.0286175,0.0029954,0.0168257,0.0336691,0.0101082,0.0035110,0.0021432,0.0038033,0.0030485,0.0011287,0.0032525,0.0094430,0.0067950,0.0047683,0.0085189,0.0012961,0.0014481,0.0013457,0.0009111,0.0011070,0.0009922,0.0021769,0.0020310,0.0022141,0.0016900,0.0019724,0.0017541,0.0061654,0.0007133,0.0005405,0.0015787,0.0023071,0.0004655,0.0007290,0.0003191,0.0006528,0.0005201,0.0018180,0.0025757,0.0003710,0.0014658,0.0012877,0.0008124,0.0020622,0.0108263,0.0041128,0.0009795,0.0017092,0.0013275,0.0016780,0.0007884,0.0026789,0.0009262,0.0014973,0.0060452,0.0034624,0.0011991,-0.0004691,0.0021101,0.0064091,0.0379475,0.0011991
334,Computer and electronic products,0.0017491,0.0005513,0.0015833,0.0016863,0.0009047,0.0016189,0.0038999,0.0076639,0.0053307,0.0081505,0.0117655,0.0137546,1.0460320,0.0238049,0.0132313,0.0388752,0.0107652,0.0217145,0.0035831,0.0085010,0.0023608,0.0066230,0.0108639,0.0011893,0.0047922,0.0095524,0.0066728,0.0020809,0.0009352,0.0006207,0.0009256,0.0008153,0.0019543,0.0020703,0.0010207,0.0012054,0.0009816,0.0011778,0.0007594,0.0028706,0.0025482,0.0060983,0.0032463,0.0005584,0.0009175,0.0004011,0.0011592,0.0001919,0.0012109,0.0013233,0.0006971,0.0041833,0.0025338,0.0034186,0.0018877,0.0033014,0.0028875,0.0043013,0.0016350,0.0010484,0.0013018,0.0006975,0.0016594,0.0013076,0.0012452,0.0028410,0.0188660,0.0068737,0.0007333,0.0015073,0.0046527,0.0061156,0.0068737
335,"Electrical equipment, appliances, and components",0.0019423,0.0005706,0.0013207,0.0014681,0.0009359,0.0024164,0.0114128,0.0019719,0.0017657,0.0085397,0.0059343,0.0217951,0.0036959,1.0128945,0.0187835,0.0032851,0.0016532,0.0026798,0.0013449,0.0012663,0.0007143,0.0012470,0.0009929,0.0007968,0.0013740,0.0028181,0.0028558,0.0012109,0.0009509,0.0011151,0.0006447,0.0004534,0.0028048,0.0014614,0.0010708,0.0016485,0.0009637,0.0011226,0.0012141,0.0004320,0.0002716,0.0014388,0.0007885,0.0003829,0.0005191,0.0002428,0.0004627,0.0003977,0.0012902,0.0013605,0.0002369,0.0015541,0.0011813,0.0006168,0.0014024,0.0054487,0.0010660,0.0004838,0.0010469,0.0006369,0.0035926,0.0004580,0.0042885,0.0006539,0.0008183,0.0033278,0.0035011,0.0059385,0.0007050,0.0011204,0.0085461,0.0041074,0.0059385
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0034639,0.0015281,0.0041301,0.0073498,0.0031178,0.0029047,0.0031485,0.0112780,0.0050123,0.0081355,0.0089709,0.0269328,0.0026942,0.0072978,1.2338858,0.0311576,0.0063402,0.0037098,0.0051583,0.0203842,0.0028763,0.0066001,0.0033259,0.0020676,0.0020553,0.0039032,0.0038769,0.0054585,0.0049322,0.0015031,0.0035754,0.0014800,0.0026971,0.0046053,0.0121536,0.0065838,0.0015832,0.0031867,0.0064537,0.0014085,0.0011328,0.0020990,0.0021389,0.0008132,0.0012963,0.0006621,0.0010777,0.0002918,0.0027901,0.0053341,0.0006878,0.0012754,0.0023009,0.0017217,0.0115068,0.0099728,0.0043998,0.0016553,0.0034887,0.0018792,0.0071983,0.0022209,0.0027666,0.0016185,0.0025032,0.0126834,0.0114798,0.0016172,0.0229148,0.0046351,0.0059364,0.0418536,0.0016172
3364OT,Other transportation equipment,0.0003286,0.0001997,0.0002306,0.0004000,0.0001964,0.0003908,0.0003204,0.0005803,0.0006065,0.0008623,0.0008437,0.0036650,0.0019791,0.0031268,0.0068584,1.1280444,0.0003888,0.0002451,0.0004368,0.0002995,0.0001567,0.0005161,0.0002947,0.0001711,0.0003024,0.0014856,0.0003373,0.0002229,0.0001879,0.0000910,0.0002186,0.0063525,0.0155769,0.0208811,0.0010861,0.0014486,0.0002190,0.0052526,0.0003358,0.0001226,0.0001213,0.0001566,0.0002048,0.0001019,0.0001833,0.0000732,0.0001557,0.0000231,0.0002222,0.0002303,0.0000752,0.0001427,0.0008533,0.0001379,0.0002989,0.0009347,0.0001779,0.0001390,0.0001917,0.0001434,0.0002021,0.0001537,0.0006589,0.0001099,0.0001806,0.0003576,0.0622449,0.0012749,0.0007196,0.0001923,0.0007977,0.0039989,0.0012749
337,Furniture and related products,0.0001477,0.0000463,0.0001088,0.0004396,0.0001787,0.0008417,0.0084284,0.0061358,0.0005294,0.0003403,0.0008103,0.0007751,0.0004649,0.0003939,0.0002580,0.0001543,0.9956120,0.0024436,0.0001702,0.0017476,0.0007406,0.0003839,0.0002882,0.0001327,0.0001296,0.0011592,0.0001676,0.0003051,0.0002402,0.0001380,0.0002483,0.0000944,0.0005744,0.0001658,0.0001364,0.0003537,0.0003899,0.0002961,0.0001339,0.0000873,0.0000723,0.0002275,0.0004658,0.0001047,0.0001209,0.0000521,0.0001145,0.0005158,0.0004898,0.0001270,0.0000706,0.0000613,0.0001574,0.0000963,0.0001091,0.0001687,0.0001500,0.0001461,0.0002503,0.0001581,0.0008702,0.0002148,0.0008870,0.0002438,0.0003905,0.0003306,0.0002190,0.0000845,0.0003668,0.0002325,0.0030373,0.0003313,0.0000845
339,Miscellaneous manufacturing,0.0003780,0.0001325,0.0003046,0.0004526,0.0002449,0.0002843,0.0009703,0.0012269,0.0008325,0.0005583,0.0028117,0.0032549,0.0027711,0.0022857,0.0026352,0.0006054,0.0036432,0.9718472,0.0004445,0.0032220,0.0620154,0.0007865,0.0058294,0.0001768,0.0005867,0.0043030,0.0005189,0.0005737,0.0004357,0.0001717,0.0004942,0.0001586,0.0002585,0.0004338,0.0002749,0.0004321,0.0003068,0.0003908,0.0005023,0.0002538,0.0002208,0.0003471,0.0003951,0.0001912,0.0002911,0.0001595,0.0002443,0.0000595,0.0004741,0.0003638,0.0001389,0.0002379,0.0015100,0.0002564,0.0012242,0.0019261,0.0006837,0.0078238,0.0093795,0.0008335,0.0016644,0.0007287,0.0006560,0.0002471,0.0004730,0.0017178,0.0018707,0.0005858,0.0002741,0.0011954,0.0007035,0.0011374,0.0005858
311FT,Food and beverage and tobacco products,0.1104183,0.0150525,0.0008194,0.0010106,0.0009241,0.0011999,0.0012241,0.0037088,0.0064058,0.0025497,0.0013817,0.0009681,0.0004271,0.0012447,0.0014207,0.0005476,0.0017426,0.0015899,1.1885782,0.0060594,0.0505172,0.0038440,0.0094991,0.0013407,0.0143697,0.0046829,0.0025133,0.0011352,0.0027799,0.0013225,0.0011718,0.0038590,0.0007964,0.0056056,0.0009859,0.0010298,0.0006814,0.0013088,0.0007069,0.0008008,0.0013915,0.0011770,0.0016410,0.0012570,0.0014286,0.0006553,0.0015375,0.0001471,0.0033328,0.0016467,0.0008630,0.0014685,0.0030965,0.0015828,0.0018053,0.0055321,0.0225326,0.0038195,0.0152257,0.0207195,0.0574871,0.0092522,0.0215293,0.0174848,0.0661153,0.0028977,0.0091640,0.0012404,0.0057855,0.0406917,0.0015002,0.0183939,0.0012404
