hts10,cty_code,usmca_share
0203110000,2010,0
0203121010,1220,1
0203121010,2010,0
0203121020,1220,1
0203121020,2010,1
0203129010,1220,0.5814325155
0203129010,2010,0
0203129020,1220,0.4064629501
0203129020,2010,0
0203192010,1220,1
0203192010,2010,1
0203192090,1220,1
0203192090,2010,0
0203194010,1220,0.4869895913
0203194010,2010,0.5945364976
0203194090,1220,0.5364824598
0203194090,2010,0.5394832327
0203210000,1220,0
0203210000,2010,1
0203221000,1220,1
0203221000,2010,0
0203229000,1220,0.4951466401
0203229000,2010,0.7471443615
0203292000,1220,0.998731201
0203292000,2010,0.9938814485
0203294000,1220,0.5493841704
0203294000,2010,0.519374927
0204100000,1220,1
0204100000,2010,0
0204210000,1220,0
0204210000,2010,0
0204222010,1220,0
0204222010,2010,0
0204222020,1220,0
0204222020,2010,0
0204222030,1220,0
0204222030,2010,0
0204222090,1220,1
0204222090,2010,1
0204224000,1220,0
0204224000,2010,0
0204232000,1220,0
0204232000,2010,0
0204234000,1220,0
0204234000,2010,0
0204300000,1220,0
0204300000,2010,0
0204410000,1220,0
0204410000,2010,0
0204422010,1220,0
0204422010,2010,0
0204422020,1220,1
0204422020,2010,0
0204422030,1220,1
0204422030,2010,0
0204422090,1220,0
0204422090,2010,0
0204424000,1220,0
0204424000,2010,0
0204432000,1220,1
0204432000,2010,0
0204434000,1220,0
0204434000,2010,0
0204500000,1220,0
0204500000,2010,0.5223959744
0205000000,1220,0.493970529
0205000000,2010,0
0206100000,1220,0.5679970518
0206100000,2010,0.5787043845
0206210000,1220,0.5577164919
0206210000,2010,0.6667189325
0206220000,1220,0.6172510724
0206220000,2010,0
0206290000,1220,0.5058099694
0206290000,2010,0.5829415896
0206300000,1220,0.4404824751
0206300000,2010,0.6618253044
0206410000,1220,0.5976647164
0206410000,2010,0.3064261569
0206490000,1220,0.5056377631
0206490000,2010,0.5747962586
0206800000,1220,0
0206800000,2010,0
0206900020,1220,0.50577723
0206900020,2010,0
0206900040,1220,0.5077398721
0206900040,2010,1
0207110020,1220,1
0207110020,2010,0
0207110040,1220,1
0207110040,2010,0
0207120020,1220,1
0207120020,2010,0
0207120040,1220,1
0207120040,2010,0
0207130000,1220,1
0207130000,2010,0
0207140020,1220,1
0207140020,2010,0
0207140040,1220,0.9998426794
0207140040,2010,1
0207240000,1220,0.9896958632
0207240000,2010,0
0207252000,1220,1
0207252000,2010,0
0207254000,1220,0.9929920673
0207254000,2010,0
0207260000,1220,1
0207260000,2010,0
0207270020,1220,1
0207270020,2010,0
0207270040,1220,0.9963081403
0207270040,2010,0
0207410000,1220,0
0207410000,2010,0
0207420000,1220,1
0207420000,2010,0
0207430000,1220,0
0207430000,2010,0
0207440000,1220,1
0207440000,2010,0
0207450020,1220,1
0207450020,2010,0
0207450040,1220,0.9791365572
0207450040,2010,0
0207510000,1220,0
0207510000,2010,0
0207520000,1220,0
0207520000,2010,0
0207530000,1220,0
0207530000,2010,0
0207540000,1220,0
0207540000,2010,0
0207550020,1220,0
0207550020,2010,0
0207550040,1220,0
0207550040,2010,0
0207601000,1220,0
0207601000,2010,0
0207602000,1220,0
0207602000,2010,0
0207603000,1220,0
