,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods",Noncomparable imports and rest-of-the-world adjustment
331,Primary metals,0.0111728,0.0031153,0.0487424,0.0264850,0.0144013,0.0118019,0.0383863,0.0249925,0.0401644,1.4112331,0.3548285,0.1834761,0.0299878,0.2578712,0.1792192,0.0638462,0.1000216,0.0662478,0.0194543,0.0209002,0.0098032,0.0356387,0.0169409,0.0328283,0.0120296,0.0322867,0.0056710,0.0051224,0.0050659,0.0031017,0.0042944,0.0063806,0.0191470,0.0152781,0.0096062,0.0084313,0.0129561,0.0100905,0.0076886,0.0029574,0.0020741,0.0094246,0.0064852,0.0020464,0.0036927,0.0015744,0.0032731,0.0015156,0.0086500,0.0063913,0.0015322,0.0048579,0.0059984,0.0036365,0.0084649,0.0225660,0.0075465,0.0042655,0.0065146,0.0044620,0.0107510,0.0032372,0.0122676,0.0060186,0.0063254,0.0177964,0.0167748,0.0097029,0.0088770,0.0071574,0.0271425,0.1783514,0.0097029
332,Fabricated metal products,0.0139508,0.0044138,0.0398566,0.0240941,0.0147262,0.0177917,0.0706779,0.0451466,0.0336564,0.1049499,1.1221022,0.0960851,0.0309221,0.1224243,0.0828440,0.0632279,0.0845022,0.0417832,0.0324913,0.0308632,0.0114637,0.0542721,0.0278377,0.0273835,0.0201208,0.0494142,0.0065527,0.0060715,0.0062310,0.0039462,0.0055547,0.0073635,0.0137302,0.0319409,0.0119647,0.0124057,0.0345003,0.0128852,0.0106126,0.0045321,0.0026121,0.0169104,0.0079620,0.0027936,0.0045927,0.0019631,0.0041949,0.0025446,0.0092525,0.0091210,0.0019270,0.0073336,0.0075814,0.0046769,0.0084988,0.0329964,0.0082559,0.0048123,0.0081199,0.0052227,0.0156107,0.0035859,0.0151530,0.0113873,0.0099347,0.0249905,0.0223821,0.0088161,0.0083181,0.0095274,0.0422596,0.3293496,0.0088161
333,Machinery,0.0109975,0.0024656,0.0331993,0.0458204,0.0298704,0.0078418,0.0249074,0.0097049,0.0103979,0.0223106,0.0273658,1.0758663,0.0053550,0.0322602,0.0773106,0.0193833,0.0089907,0.0082021,0.0124154,0.0084274,0.0034406,0.0137414,0.0221518,0.0210169,0.0121375,0.0179526,0.0034611,0.0033937,0.0033220,0.0020311,0.0028859,0.0044422,0.0045813,0.0063905,0.0067616,0.0049810,0.0040655,0.0138418,0.0110561,0.0017703,0.0013304,0.0034631,0.0038554,0.0012079,0.0021622,0.0013971,0.0019009,0.0009594,0.0046892,0.0049117,0.0009723,0.0045913,0.0034905,0.0023249,0.0075527,0.0313347,0.0080714,0.0030513,0.0042058,0.0030261,0.0040651,0.0020721,0.0066208,0.0025100,0.0037259,0.0120769,0.0079143,0.0034183,0.0044249,0.0060515,0.0172252,0.0492970,0.0034183
334,Computer and electronic products,0.0063881,0.0020778,0.0067327,0.0075007,0.0049661,0.0048705,0.0110312,0.0187260,0.0119425,0.0188537,0.0257101,0.0300151,1.1031567,0.0417148,0.0585362,0.0793312,0.0225394,0.0298513,0.0111943,0.0177104,0.0068247,0.0135464,0.0194637,0.0059138,0.0106852,0.0183590,0.0233820,0.0074189,0.0048175,0.0043961,0.0048037,0.0045837,0.0055552,0.0076759,0.0050739,0.0048675,0.0036252,0.0048990,0.0038049,0.0090397,0.0066513,0.0365947,0.0147165,0.0035844,0.0081984,0.0019905,0.0120094,0.0006943,0.0057345,0.0052906,0.0061175,0.0108877,0.0100343,0.0250821,0.0102326,0.0118263,0.0070737,0.0105922,0.0059739,0.0044406,0.0061469,0.0031862,0.0063777,0.0046583,0.0057983,0.0107353,0.0371416,0.0158744,0.0038042,0.0060127,0.0124314,0.0159337,0.0158744
335,"Electrical equipment, appliances, and components",0.0131534,0.0024409,0.0041300,0.0052633,0.0061887,0.0052808,0.0264662,0.0072785,0.0049236,0.0185507,0.0172885,0.0528418,0.0103151,1.0605081,0.0345698,0.0097148,0.0065181,0.0078545,0.0079486,0.0049774,0.0023705,0.0077074,0.0049387,0.0033079,0.0039994,0.0077678,0.0041496,0.0030001,0.0023480,0.0025547,0.0017943,0.0022127,0.0051984,0.0035343,0.0025910,0.0040624,0.0024899,0.0030703,0.0028068,0.0012403,0.0009026,0.0066482,0.0020758,0.0011400,0.0023306,0.0008679,0.0018946,0.0009273,0.0036869,0.0028051,0.0007288,0.0052500,0.0037602,0.0016687,0.0037452,0.0124198,0.0026652,0.0014037,0.0027815,0.0034380,0.0057411,0.0014371,0.0077436,0.0033344,0.0027279,0.0069802,0.0089446,0.0119793,0.0028340,0.0030994,0.0175631,0.0111773,0.0119793
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0087093,0.0033611,0.0087449,0.0159143,0.0070802,0.0059321,0.0078544,0.0302860,0.0120559,0.0199720,0.0180233,0.0519635,0.0067565,0.0176530,1.3989123,0.0495747,0.0174701,0.0098592,0.0131695,0.0282431,0.0066581,0.0184389,0.0088966,0.0065697,0.0058240,0.0099902,0.0081741,0.0116377,0.0107184,0.0034901,0.0077485,0.0036470,0.0060175,0.0094698,0.0244236,0.0128174,0.0032764,0.0068711,0.0141609,0.0029571,0.0024053,0.0048378,0.0044892,0.0017897,0.0030261,0.0015408,0.0025096,0.0006459,0.0058516,0.0111494,0.0014629,0.0028275,0.0049392,0.0039055,0.0225213,0.0209839,0.0094854,0.0037057,0.0075100,0.0042556,0.0146635,0.0039956,0.0059820,0.0036926,0.0058724,0.0249391,0.0257736,0.0036586,0.0427278,0.0097213,0.0126248,0.0547566,0.0036586
3364OT,Other transportation equipment,0.0005702,0.0002939,0.0004397,0.0007240,0.0003918,0.0005793,0.0005838,0.0009753,0.0009212,0.0015323,0.0013197,0.0047708,0.0024882,0.0040577,0.0092847,1.2804722,0.0007337,0.0004665,0.0007390,0.0005570,0.0002900,0.0009314,0.0005709,0.0004059,0.0005053,0.0019338,0.0006064,0.0003778,0.0003272,0.0001711,0.0003772,0.0078679,0.0181063,0.0241548,0.0018111,0.0018112,0.0003632,0.0093142,0.0006054,0.0002058,0.0002102,0.0003451,0.0003461,0.0001879,0.0005212,0.0001309,0.0003999,0.0000399,0.0003589,0.0004213,0.0001296,0.0002597,0.0010743,0.0002732,0.0005071,0.0013568,0.0003069,0.0002413,0.0003274,0.0002465,0.0003654,0.0002488,0.0008748,0.0002039,0.0003199,0.0005885,0.0750627,0.0034289,0.0010457,0.0003298,0.0011536,0.0048312,0.0034289
337,Furniture and related products,0.0002530,0.0000775,0.0001912,0.0005592,0.0002381,0.0014590,0.0088049,0.0069740,0.0006649,0.0005520,0.0009778,0.0009670,0.0005442,0.0005736,0.0005091,0.0002711,1.0200649,0.0026207,0.0002951,0.0019831,0.0009002,0.0005873,0.0004268,0.0002328,0.0002243,0.0013386,0.0004521,0.0005921,0.0003735,0.0002067,0.0010159,0.0001657,0.0006887,0.0002844,0.0002382,0.0006017,0.0004609,0.0005128,0.0001945,0.0001307,0.0002773,0.0003995,0.0005406,0.0001487,0.0001918,0.0000867,0.0001853,0.0009474,0.0006475,0.0001997,0.0001051,0.0001095,0.0003550,0.0001816,0.0001827,0.0002878,0.0002213,0.0003494,0.0003614,0.0002382,0.0009729,0.0023103,0.0022732,0.0003295,0.0004925,0.0005482,0.0003160,0.0001382,0.0004940,0.0003202,0.0054341,0.0004790,0.0001382
339,Miscellaneous manufacturing,0.0006395,0.0002490,0.0006309,0.0009461,0.0005246,0.0004600,0.0014263,0.0016343,0.0011280,0.0010884,0.0033193,0.0058571,0.0030703,0.0040202,0.0056562,0.0010790,0.0041850,0.9800604,0.0007412,0.0037660,0.0647418,0.0011872,0.0062530,0.0004927,0.0010019,0.0047980,0.0008089,0.0012151,0.0007542,0.0003099,0.0008515,0.0003760,0.0004169,0.0007303,0.0005111,0.0006862,0.0004466,0.0006745,0.0009187,0.0003879,0.0003502,0.0006223,0.0006097,0.0003126,0.0005382,0.0002654,0.0004482,0.0000913,0.0007779,0.0006006,0.0002249,0.0004029,0.0020332,0.0004570,0.0019951,0.0025414,0.0013281,0.0117929,0.0172756,0.0016667,0.0031197,0.0011008,0.0011113,0.0004391,0.0009639,0.0025133,0.0029017,0.0010881,0.0004852,0.0024306,0.0010798,0.0020713,0.0010881
311FT,Food and beverage and tobacco products,0.1189479,0.0164520,0.0013495,0.0015894,0.0013432,0.0016030,0.0018776,0.0048808,0.0093676,0.0044155,0.0024539,0.0017836,0.0007242,0.0023542,0.0027680,0.0010329,0.0030050,0.0025706,1.2215049,0.0091493,0.0534419,0.0059043,0.0108752,0.0023254,0.0200913,0.0079715,0.0030035,0.0014916,0.0037465,0.0018091,0.0015244,0.0052453,0.0011161,0.0068662,0.0013556,0.0014057,0.0009151,0.0017324,0.0009668,0.0010525,0.0017009,0.0015280,0.0021658,0.0016005,0.0019524,0.0009242,0.0020330,0.0002000,0.0042409,0.0021269,0.0010926,0.0018758,0.0040445,0.0020843,0.0023765,0.0066717,0.0258887,0.0049584,0.0178556,0.0238557,0.0644841,0.0099484,0.0250506,0.0203002,0.0811956,0.0036423,0.0109190,0.0016754,0.0071187,0.0465200,0.0021701,0.0215574,0.0016754
