State Imports by NAICS Commodities,,,,
Current date: 05/12/2025 2:56 PM (Eastern Daylight Time),,,,
Measures: Customs Value (Gen) ($US),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,3113 Sugar & Confectionery Products,Germany,2024,"70,228"
Alabama,3113 Sugar & Confectionery Products,Indonesia,2024,"64,598"
Alabama,3113 Sugar & Confectionery Products,Italy,2024,"3,915"
Alabama,3113 Sugar & Confectionery Products,Mexico,2024,"42,480,216"
Alabama,3113 Sugar & Confectionery Products,Netherlands,2024,"115,147"
Alabama,3113 Sugar & Confectionery Products,Pakistan,2024,"189,959"
Alabama,3113 Sugar & Confectionery Products,Peru,2024,"125,832"
Alabama,3113 Sugar & Confectionery Products,Switzerland,2024,"9,494"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Argentina,2024,"25,676"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Belgium,2024,"352,860"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Brazil,2024,"98,859"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Canada,2024,"7,353,063"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Chile,2024,"2,007,026"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,China,2024,"1,495,335"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Colombia,2024,"329,057"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Costa Rica,2024,"22,800"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Egypt,2024,"155,784"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,France,2024,"482,579"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Germany,2024,"1,857,528"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Greece,2024,"185,376"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Guatemala,2024,"23,049"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Honduras,2024,"19,181"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,India,2024,"2,281,530"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Indonesia,2024,"20,000"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Israel,2024,"42,672"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Italy,2024,"43,763"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Mexico,2024,"2,496,830"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Netherlands,2024,"20,328"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Philippines,2024,"38,372"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Poland,2024,"55,738"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Spain,2024,"45,646"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Switzerland,2024,"2,274,040"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Taiwan,2024,"2,730"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Thailand,2024,"251,574"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Turkey,2024,"95,098"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,United Kingdom,2024,"21,558"
Alabama,3114 Fruits & Veg Preserves & Specialty Foods,Vietnam,2024,"77,086"
Alabama,3115 Dairy Products,Canada,2024,"90,089"
Alabama,3115 Dairy Products,Italy,2024,"10,565"
Alabama,3115 Dairy Products,Mexico,2024,"151,472"
Alabama,3115 Dairy Products,Philippines,2024,"67,315"
Alabama,3115 Dairy Products,Sri Lanka,2024,"724,605"
